Area_Code,Land_Zoning,Business_Acreage,River_Proximity,Pollution_Level,Rooms_Avg,Old_Units_Rate,Distance_Centers,Highway_Access,Tax_Rate,Student_Teacher_Ratio,Demographic_Index,Low_Status_Pop,Median_House_Value
0.06,17.94,2.52,-0.1,0.24,6.62,65.17,4.18,0.99,295.99,15.27,397.01,5,24.03
0.01,-0.09,7,0.19,0.49,6.33,78.92,4.86,2.04,241.97,17.9,396.97,9.19,21.42
0.09,0,7.24,0.12,0.65,7.24,61,5.1,1.93,241.9,17.77,392.86,4.2,34.67
0.18,-0.08,2.2,0.06,0.58,6.91,45.78,6.09,3.02,222.04,18.57,394.53,2.86,33.42
0.05,0.03,2.11,-0.02,0.48,7.11,54.26,6.13,3.05,221.95,18.77,396.9,5.2,36.17
0.01,-0.01,2.13,-0.1,0.41,6.4,58.72,6.21,3.02,222.07,18.68,394.07,5.12,28.55
0.25,12.48,7.84,-0.04,0.6,6.11,66.54,5.45,4.9,310.89,15.2,395.57,12.3,23.06
0.22,12.41,7.91,0.11,0.43,6.26,96.12,5.95,5.02,311.17,15.36,396.86,19.28,27.11
0.16,12.44,7.92,0.19,0.57,5.51,100.07,6.03,5.15,310.91,15.2,386.53,30.08,16.64
0.22,12.58,7.81,0.15,0.57,6.01,85.7,6.44,5.04,311.02,15.23,386.51,17.13,18.87
0.18,12.55,7.87,-0.05,0.63,,94.42,6.38,5.1,311.08,15.08,392.45,20.57,14.91
0.07,12.4,8.08,-0.11,0.8,5.88,82.87,6.48,4.98,310.94,15.18,396.92,13.28,18.93
0.12,12.51,8.04,0.01,0.56,5.87,39.04,5.27,5.07,311.09,15.26,390.37,15.7,21.68
0.44,0.08,8.18,-0.18,0.49,5.92,61.92,4.7,4.03,306.88,20.84,396.9,8.23,20.28
0.47,-0.17,8.14,0.03,0.54,6.34,84.36,4.53,3.9,307.15,21.02,380.21,10.23,18.35
0.57,0.05,8.15,-0.01,0.36,5.88,56.43,4.51,4.03,307,21.01,395.72,8.32,19.84
0.95,-0.07,8.2,-0.05,0.47,5.8,29.27,4.49,3.9,306.94,21,387.01,6.61,22.92
0.82,0.06,8.04,-0.16,0.5,5.93,81.62,4.13,3.94,306.97,21.1,386.79,14.67,17.63
0.71,-0.08,8.11,0.05,0.49,5.56,36.77,3.82,4.02,307.08,21.03,289.11,11.76,20.15
